author_id,rating,helpfulness,total_feedback,total_negative_feedback,total_positive_feedback,Date,skin_tone,eye_color,skin_type,hair_color,product_id,product_name,brand_name,price_usd
507867575,3,0,3,2,1,4/10/2022,light,brown,normal,brown,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
7717045139,5,1,6,0,6,4/9/2022,medium,blue,combination,blonde,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
2044630557,5,1,1,0,1,4/7/2022,medium,brown,combination,blonde,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
5965524940,5,1,3,0,3,4/7/2022,lightMedium,hazel,combination,brown,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
1491852009,5,1,1,0,1,4/6/2022,mediumTan,brown,combination,blonde,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
2214643701,5,1,2,0,2,4/6/2022,tan,brown,combination,black,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
9275443188,5,1,1,0,1,4/5/2022,lightMedium,brown,dry,auburn,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
5331699144,3,1,2,0,2,4/5/2022,light,blue,normal,blonde,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
2447336166,5,1,1,0,1,4/5/2022,fairLight,green,combination,brown,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
1308890998,4,1,1,0,1,4/5/2022,mediumTan,brown,combination,black,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
783091658,5,1,1,0,1,4/3/2022,tan,brown,combination,brown,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
911750698,5,1,2,0,2,4/3/2022,light,brown,dry,black,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
1534716429,4,0,1,1,0,4/3/2022,light,brown,combination,black,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
1219627141,3,1,2,0,2,4/1/2022,light,brown,combination,brown,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
2871252969,5,1,1,0,1,4/1/2022,light,brown,combination,brown,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
7129502578,3,1,1,0,1,3/31/2022,tan,brown,oily,black,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
1312222512,4,0,1,1,0,3/30/2022,tan,brown,combination,brown,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
1219790311,5,1,1,0,1,3/29/2022,light,hazel,dry,brown,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
2310871067,5,1,1,0,1,3/28/2022,lightMedium,hazel,combination,brown,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
1214347342,5,1,1,0,1,3/26/2022,light,brown,dry,brown,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
36156217274,4,1,1,0,1,3/26/2022,lightMedium,brown,dry,brown,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
2410233209,4,1,2,0,2,3/26/2022,tan,brown,oily,black,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
1536691427,5,1,2,0,2,3/26/2022,fair,green,dry,brown,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
8425561875,5,1,1,0,1,3/26/2022,light,blue,normal,blonde,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
5133887026,5,1,1,0,1,3/25/2022,mediumTan,brown,combination,brown,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
25432757872,5,1,1,0,1,3/24/2022,medium,brown,combination,black,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
2236461,5,1,1,0,1,3/23/2022,lightMedium,brown,normal,blonde,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
1296157321,5,1,1,0,1,3/23/2022,lightMedium,blue,combination,blonde,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
1242300072,5,1,1,0,1,3/22/2022,medium,brown,combination,brown,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
8117631518,5,1,5,1,4,12/17/2021,mediumTan,brown,oily,black,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
21136887418,5,1,5,0,5,12/6/2021,fair,brown,combination,black,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
9981202663,2,0,15,9,6,10/30/2021,medium,brown,oily,black,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
31670612501,5,1,14,1,13,9/30/2021,light,blue,dry,brown,P474843,Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,150
5246588524,3,0,8,8,0,8/23/2022,fair,brown,combination,black,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
6152128389,5,0,6,3,3,6/29/2022,light,brown,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
8844637576,3,1,2,0,2,12/25/2021,fair,hazel,combination,blonde,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
2258007744,4,1,4,0,4,8/19/2021,tan,brown,normal,blonde,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
5770283478,4,1,12,1,11,7/13/2021,light,brown,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
26356691567,1,1,4,1,3,7/9/2021,light,hazel,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
5521010312,4,0,4,2,2,7/1/2021,lightMedium,brown,oily,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
10444193504,5,1,6,0,6,6/17/2021,light,blue,combination,blonde,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
1306820145,5,1,6,0,6,4/11/2021,light,green,dry,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
24096997906,2,1,8,2,6,3/21/2021,tan,brown,dry,black,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
6692931170,5,0,4,2,2,1/15/2021,lightMedium,green,dry,blonde,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
12280470330,3,1,12,1,11,12/17/2020,mediumTan,brown,normal,black,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
7555767343,3,0,28,23,5,12/1/2020,fair,blue,combination,blonde,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
1133062786,4,1,6,1,5,11/9/2020,light,green,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
2131102227,5,1,8,0,8,11/2/2020,fair,blue,dry,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
11406603583,5,1,8,2,6,11/2/2020,mediumTan,brown,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
7991964370,1,0,10,6,4,8/2/2020,lightMedium,brown,combination,blonde,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
2258475979,5,1,11,3,8,7/2/2020,medium,brown,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
5616620494,3,1,8,0,8,6/5/2020,fair,brown,dry,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
11533213555,5,1,9,1,8,5/22/2020,lightMedium,brown,dry,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
7224222361,3,1,7,0,7,5/20/2020,light,hazel,dry,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
6615084145,5,1,3,0,3,5/4/2020,light,brown,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
1884373391,2,1,11,3,8,4/27/2020,tan,brown,normal,black,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
11931447208,2,1,7,0,7,4/18/2020,fairLight,hazel,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
2477053960,2,1,11,1,10,4/17/2020,fair,blue,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
5405393597,5,1,2,0,2,4/16/2020,fairLight,blue,combination,blonde,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
21255429542,5,1,3,1,2,3/31/2020,medium,brown,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
21751762235,5,1,12,4,8,3/25/2020,lightMedium,brown,combination,black,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
10601787967,5,1,4,0,4,2/17/2020,fairLight,hazel,normal,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
1109867900,5,1,2,0,2,2/1/2020,light,hazel,dry,red,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
6849339706,5,1,12,1,11,1/21/2020,fair,hazel,dry,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
1035110656,5,1,8,1,7,1/21/2020,light,brown,combination,black,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
10489705188,5,0,3,2,1,1/19/2020,lightMedium,green,dry,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
1858813362,3,1,41,4,37,1/18/2020,lightMedium,brown,normal,black,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
8503114766,5,1,1,0,1,1/12/2020,fair,brown,combination,blonde,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
11308806834,4,0,1,1,0,12/31/2019,fair,brown,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
935781500,5,1,6,0,6,12/10/2019,fair,green,normal,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
7671910029,3,1,10,0,10,10/25/2019,mediumTan,brown,dry,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
1330680582,5,1,1,0,1,10/19/2019,light,hazel,dry,blonde,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
2283104964,1,0,4,2,2,9/14/2019,fair,blue,combination,blonde,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
10783857043,5,1,2,0,2,8/10/2019,lightMedium,brown,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
22145469564,5,1,7,0,7,7/16/2019,tan,brown,combination,black,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
8245086836,5,1,1,0,1,6/26/2019,medium,brown,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
2364353267,5,1,2,0,2,5/24/2019,lightMedium,brown,dry,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
7509750080,4,1,5,1,4,4/18/2019,light,blue,normal,blonde,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
1605789558,5,1,1,0,1,3/13/2019,mediumTan,brown,combination,black,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
8432547607,5,1,2,0,2,3/9/2019,fairLight,blue,dry,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
7416951668,5,1,1,0,1,2/10/2019,fair,hazel,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
1981434347,5,1,2,0,2,2/5/2019,fair,blue,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
8139825684,3,1,4,1,3,1/16/2019,light,hazel,dry,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
2592761756,5,1,1,0,1,11/24/2018,light,blue,dry,blonde,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
5091537193,2,1,15,2,13,11/19/2018,mediumTan,brown,dry,black,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
9134588257,1,1,13,3,10,11/19/2018,fair,hazel,oily,blonde,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
6368315847,2,0,1,1,0,11/14/2018,light,brown,normal,blonde,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
2595625957,5,1,20,0,20,10/16/2018,fairLight,blue,dry,auburn,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
1640921762,2,1,2,0,2,9/14/2018,lightMedium,brown,normal,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
11235415063,2,0,5,4,1,9/9/2018,mediumTan,brown,combination,black,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
6882570813,5,1,7,1,6,8/30/2018,light,green,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
6366729725,5,1,18,1,17,8/28/2018,fair,green,oily,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
11094852215,4,0,4,2,2,8/13/2018,fair,hazel,combination,blonde,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
2474971626,5,1,13,0,13,7/16/2018,mediumTan,brown,dry,black,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
1345364429,5,1,12,1,11,7/16/2018,medium,brown,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
7003200678,4,1,8,2,6,7/12/2018,mediumTan,hazel,oily,black,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
1502874951,5,1,6,0,6,7/2/2018,fair,hazel,combination,blonde,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
5201522424,5,1,1,0,1,6/13/2018,mediumTan,hazel,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
1345088629,5,0,1,1,0,6/12/2018,lightMedium,brown,oily,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
12684764880,5,1,8,0,8,6/1/2018,light,blue,combination,blonde,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
6212831858,5,1,87,2,85,5/9/2018,lightMedium,brown,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
8003477401,5,1,13,2,11,3/16/2018,fairLight,brown,dry,black,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
1046982753,5,1,3,1,2,2/26/2018,tan,brown,oily,black,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
5393445476,3,0,13,12,1,2/22/2018,light,brown,normal,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
5207896255,3,1,9,3,6,2/16/2018,light,green,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
1911102231,5,1,17,7,10,2/15/2018,light,brown,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
5457218502,5,1,2,0,2,2/14/2018,fair,blue,combination,blonde,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
8870209813,5,1,16,1,15,2/8/2018,lightMedium,brown,oily,black,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
8530492460,5,1,6,2,4,1/30/2018,fair,brown,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
2640290063,5,1,36,6,30,1/22/2018,deep,brown,dry,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
486067692,5,1,31,1,30,1/18/2018,lightMedium,hazel,normal,red,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
1982901143,5,1,30,0,30,1/12/2018,light,brown,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
1147711802,5,1,73,13,60,1/12/2018,lightMedium,brown,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
7490040060,4,1,20,1,19,1/11/2018,medium,brown,combination,black,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
2204515214,3,1,20,5,15,1/11/2018,mediumTan,green,dry,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
5137644377,5,1,11,2,9,1/5/2018,fairLight,brown,oily,black,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
7478223669,5,1,10,0,10,12/29/2017,fairLight,brown,oily,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
6358141149,4,1,14,3,11,12/25/2017,fairLight,hazel,oily,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
2479264136,4,1,82,8,74,12/24/2017,mediumTan,brown,oily,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
5825845461,5,1,6,1,5,12/10/2017,fair,blue,normal,black,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
7515210427,5,1,3,1,2,11/11/2017,light,blue,dry,auburn,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
7224225712,5,1,1,0,1,10/18/2017,medium,brown,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
6071591603,5,1,8,3,5,10/1/2017,lightMedium,brown,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
5648104266,5,1,58,1,57,9/20/2017,fair,blue,normal,blonde,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
2505055335,4,1,19,4,15,9/19/2017,light,brown,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
7021523104,5,0,3,2,1,9/19/2017,medium,blue,dry,blonde,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
1306557337,5,1,73,8,65,9/4/2017,lightMedium,brown,combination,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
9881785119,5,0,4,3,1,9/1/2017,medium,brown,dry,brown,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59
